pilot_id,claim_id,proposition,split,protocol,deleted_ok,cos_z,cos_del,d_cos,fve_z_released,fve_del_released,fve_drop_released,fve_z_local,fve_del_local,fve_drop_local
0,0,The passage has a wiki/encyclopedia format.,dev,atomic-v1,True,0.9216184765643882,0.9149685173318142,0.006649959232574054,0.7862807813616585,0.7681486498481641,0.018132131513494354,0.7474736892107443,0.7260491289535,0.021424560257244263
0,1,The passage is a scientific species description.,dev,atomic-v1,True,0.9216184765643882,0.9197063511367912,0.001912125427597,0.7862807813616585,0.781067078764257,0.005213702597401504,0.7474736892107443,0.7413132835585876,0.0061604056521566974
0,2,The passage lists bird characteristics.,dev,atomic-v1,True,0.9216184765643882,0.9223267952410534,-0.0007083186766652094,0.7862807813616585,0.7882121206300026,-0.001931339268344101,0.7474736892107443,0.7497557206697059,-0.002282031458961553
0,3,The passage describes bird behavior.,dev,atomic-v1,True,0.9216184765643882,0.9209792122018918,0.0006392643624963945,0.7862807813616585,0.7845377292485122,0.0017430521131462928,0.7474736892107443,0.7454141340502368,0.002059555160507487
0,6,The Eastern Towhee population decline began in the 1970s.,dev,atomic-v1,True,0.9216184765643882,0.9203099071382369,0.001308569426151318,0.7862807813616585,0.7827127665664264,0.003568014795232055,0.7474736892107443,0.7432577950163803,0.004215894194363967
0,11,The final tokenizer token is “loss”.,dev,atomic-v1,True,0.9216184765643882,0.9118104941411654,0.009807982423222783,0.7862807813616585,0.7595378163358294,0.02674296502582907,0.7474736892107443,0.7158747420474258,0.03159894716331846
0,12,The ending at “loss” is an incomplete phrase.,dev,atomic-v1,True,0.9216184765643882,0.9209828687981031,0.0006356077662851289,0.7862807813616585,0.7845476995176636,0.0017330818439948992,0.7474736892107443,0.7454259147188281,0.0020477744919161767
0,13,The final decline clause is parenthetical.,dev,atomic-v1,True,0.9216184765643882,0.9207769642314059,0.0008415123329823526,0.7862807813616585,0.7839862692062873,0.002294512155371131,0.7474736892107443,0.7447625400059671,0.002711149204777219
0,15,Habitat loss has slowed the Eastern Towhee population decline.,dev,atomic-v1,True,0.9216184765643882,0.9189184399971917,0.0027000365671965287,0.7862807813616585,0.778918718465417,0.007362062896241417,0.7474736892107443,0.7387748244346555,0.008698864776088833
0,16,"The continuation is strongly expected to be “and other factors”, “and the disappearance of winter habitat”, or “and.”",dev,atomic-v1,True,0.9216184765643882,0.9203699749550202,0.001248501609368069,0.7862807813616585,0.7828765506612683,0.0034042307003901984,0.7474736892107443,0.743451318993774,0.004022370216970272
