pilot_id,claim_id,truth,type,subtype,proposition,exclude_local_true,evidence_only_in_source_final_sentence,explicit_final_token_or_word,source_final_sentence_start,source_final_sentence,prefix_evidence_json,deletion_drop,paraphrase_drop,shared_automatic_local,text_review_local,exclude_local,locality_rationale,locality_review_flag,fve_z,fve_del,fve_heavy,P_heavy,sensitivity_exclude_local
0,0,true,theme,format,The passage is written in an encyclopedia/Wikipedia-style format.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",0.0004616823558754,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7919666558192002,0.8046881656791489,0.0127215098599486,False
0,1,true,theme,topic,The passage is a bird species article.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",-0.0041703858603624,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7965987240354381,0.8046881656791489,0.0080894416437108,False
0,2,true,theme,style,The passage follows a consistent pattern of factual declarative sentences.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",0.00552519408389,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7869031440911856,0.8046881656791489,0.0177850215879633,False
0,3,true,theme,topic,The passage covers taxonomy.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 77, ""end"": 122, ""text"": ""It is the only member of the genus Pooecetes.""}]",-0.0022934407539221,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7947217789289978,0.8046881656791489,0.0099663867501511,False
0,4,true,theme,topic,The passage covers appearance.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 123, ""end"": 207, ""text"": ""Adults have light brown upperparts and light underparts, both with darker streaking.""}]",0.0030121289882169,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7894162091868587,0.8046881656791489,0.0152719564922901,False
0,5,true,theme,topic,The passage covers behavior.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 516, ""end"": 582, ""text"": ""These birds forage on the ground, mainly eating insects and seeds.""}]",0.0002973159171572,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7921310222579184,0.8046881656791489,0.0125571434212304,False
0,6,true,theme,topic,The passage covers range.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 306, ""end"": 379, ""text"": ""Their breeding habitat is open grassy areas across most of North America.""}]",-0.0034246747929598,-0.0122598275040732,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7958530129680355,0.8046881656791489,0.0088351527111134,False
0,7,true,theme,topic,The passage covers size.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 41, ""end"": 75, ""text"": ""is a medium-sized American sparrow""}]",-0.0007472654761981,-0.0027017707980904,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7931756036512738,0.795130108973166,0.0019545053218922,False
0,8,true,theme,topic,The passage covers habitat.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 306, ""end"": 379, ""text"": ""Their breeding habitat is open grassy areas across most of North America.""}]",0.0006302919703963,-0.0027017707980904,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7917980462046793,0.795130108973166,0.0033320627684867,False
0,9,true,theme,topic,The passage covers diet.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 550, ""end"": 581, ""text"": ""mainly eating insects and seeds""}]",0.0015899520978289,-0.0027017707980904,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7908383860772467,0.795130108973166,0.0042917228959193,False
0,10,true,theme,topic,The passage covers breeding.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 380, ""end"": 441, ""text"": ""The nest is an open cup on the ground under a clump of grass.""}]",0.0009441140856649,-0.0027017707980904,False,False,False,Retained: earlier/global/mixed content; no additional final-sentence/token locality identified.,False,0.7924283381750756,0.7914842240894107,0.795130108973166,0.0036458848837553,False
0,11,true,detail,local_text,The final sentence of the passage introduces conservation status.,True,True,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 909, ""end"": 996, ""text"": ""This bird's numbers are declining in the eastern parts of its range due to habitat loss""}]",0.0056910562332121,-0.0027017707980904,True,False,True,All nonempty cited evidence lies in the final source sentence; shared automatic exclusion.,False,0.7924283381750756,0.7867372819418634,0.795130108973166,0.0083928270313026,True
0,12,false,theme,genre,Introducing conservation status is a standard concluding element for such species entries.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,[],0.0003550709498292,-0.0027017707980904,False,True,True,"Exclude: genre-convention claim specifically about the closing conservation-status sentence, not the article's overall genre.",True,0.7924283381750756,0.7920732672252464,0.795130108973166,0.0030568417479196,True
0,13,true,detail,final_token,The final word of the prefix is “loss”.,True,True,True,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 992, ""end"": 996, ""text"": ""loss""}]",-0.0075221650165084,-0.0123230298311296,True,False,True,"Explicit final-word/token claim, excluded regardless of truth.",False,0.7924283381750756,0.7999505031915841,0.8047513680062053,0.0048008648146211,True
