pilot_id,claim_id,truth,type,subtype,proposition,exclude_local_true,evidence_only_in_source_final_sentence,explicit_final_token_or_word,source_final_sentence_start,source_final_sentence,prefix_evidence_json,deletion_drop,paraphrase_drop
0,0,true,theme,format,The passage is written in an encyclopedia/Wikipedia-style format.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",0.0004616823558754035,-0.012259827504073284
0,1,true,theme,topic,The passage is a bird species article.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",-0.004170385860362447,-0.012259827504073284
0,2,true,theme,style,The passage follows a consistent pattern of factual declarative sentences.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 0, ""end"": 76, ""text"": ""The vesper sparrow (Pooecetes gramineus) is a medium-sized American sparrow.""}]",0.005525194083890073,-0.012259827504073284
0,3,true,theme,topic,The passage covers taxonomy.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 77, ""end"": 122, ""text"": ""It is the only member of the genus Pooecetes.""}]",-0.002293440753922127,-0.012259827504073284
0,4,true,theme,topic,The passage covers appearance.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 123, ""end"": 207, ""text"": ""Adults have light brown upperparts and light underparts, both with darker streaking.""}]",0.0030121289882169,-0.012259827504073284
0,5,true,theme,topic,The passage covers behavior.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 516, ""end"": 582, ""text"": ""These birds forage on the ground, mainly eating insects and seeds.""}]",0.00029731591715720374,-0.012259827504073284
0,6,true,theme,topic,The passage covers range.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 306, ""end"": 379, ""text"": ""Their breeding habitat is open grassy areas across most of North America.""}]",-0.0034246747929598254,-0.012259827504073284
0,7,true,theme,topic,The passage covers size.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 41, ""end"": 75, ""text"": ""is a medium-sized American sparrow""}]",-0.000747265476198189,-0.0027017707980904193
0,8,true,theme,topic,The passage covers habitat.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 306, ""end"": 379, ""text"": ""Their breeding habitat is open grassy areas across most of North America.""}]",0.0006302919703963239,-0.0027017707980904193
0,9,true,theme,topic,The passage covers diet.,False,False,False,909,This bird's numbers are declining in the eastern parts of its range due to habitat loss,"[{""start"": 550, ""end"": 581, ""text"": ""mainly eating insects and seeds""}]",0.0015899520978289727,-0.0027017707980904193
