stim_idx,doc_idx,split,token_str,token_type,entropy_nats,top1_prob,topic_true_raw,topic_true,topic_foreign,foreign_stim_idx,topic_in_default_explanation,cos_topic_true,cos_topic_foreign,cos_own_explanation_s1,cos_empty_s1,cos_confident,cos_uncertain,cos_torn,cos_clear,cos_filler1,cos_filler2,s_topic,s_conf,s_conflict,repe_s_diff,repe_cos_true_centred,repe_cos_foreign_centred,repe_cos_true_raw,repe_cos_foreign_raw,repe_cos_mu_true_mu_foreign,cos_ar_true_ar_foreign
0,391,pilot,fall,word_piece,2.2600488662719727,0.2630232870578766,Tropical Storm Brenda ( 1960 ),Tropical Storm Brenda (1960),Politics of Croatia,100,False,0.32687638310668354,0.21414571287383638,0.9037843794874332,0.189612725178903,0.12035376111061465,0.12073381409451722,0.12014645578903478,0.15027349234422455,0.18730490842748213,0.18629604354947843,0.11273067023284716,-0.00038005298390257625,-0.030127036555189765,0.16488604280126767,0.15963498560714814,-0.07749980275252087,0.2418708928275082,0.16825636870168098,0.8992302065468994,0.7983308498415598
1,358,pilot, of,word_initial,0.0164404828101396,0.9977473616600036,Hoover Dam,Hoover Dam,DuMont Television Network,101,False,0.18360584662171875,0.16867759659430198,0.8197721761736144,0.1534447475696528,0.12304416229584847,0.12569157231575506,0.06787180558410445,0.11971999513224726,0.14160287813431924,0.15689177915502195,0.014928250027416767,-0.002647410019906593,-0.05184818954814281,0.06847633394028174,0.05955892596363442,-0.03680852523160849,0.1263962131248028,0.11394298740896325,0.9378346535224551,0.839910375495427
2,601,pilot,ym,word_piece,4.562889575958252,0.1296535283327102,Cape lobster,Cape lobster,Sarnia,102,False,0.3983210201591816,0.4023437090482649,0.9551085174545656,0.3769455391194011,0.2930252283497472,0.29805276145738985,0.2368724466139944,0.29730443207978186,0.3300014374977637,0.382014177375528,-0.0040226888890833035,-0.0050275331076426455,-0.06043198546578746,0.10420940729047413,0.13729052697031371,0.001450159191161427,0.3014281793792945,0.26582551817557065,0.9353113924764714,0.8740661238555751
3,452,pilot,ats,word_piece,0.0004315572732593,0.9999643564224244,June 1941 uprising in eastern Herzegovina,June 1941 uprising in eastern Herzegovina,Why Does It Hurt So Bad,103,False,0.26507962312114347,0.19139576426042715,0.8738534404539006,0.1789672315352897,0.17012803469975418,0.1610338336886257,0.13819792472063544,0.17125012324920377,0.15347596808500427,0.18069336881188758,0.07368385886071632,0.009094201011128483,-0.03305219852856833,0.090109931104657,0.0612877215924672,-0.07162026289537529,0.13314223244883416,0.0949755560196981,0.8614094653233048,0.7275146603151831
4,354,pilot, plot,word_initial,1.5777641534805298,0.5676732659339905,Pokiri,Pokiri,Martin Keamy,104,False,0.39869759580325276,0.39302054000984593,0.9391552864990332,0.3708906821022327,0.26982951095352614,0.2861191745711034,0.22870883539892542,0.28721145063856773,0.38490505425961147,0.38930145683775363,0.005677055793406827,-0.016289663617577277,-0.058502615239642314,0.08873905496201054,0.09490121471808911,-0.009766506520109302,0.4265547631728378,0.4078111907094748,0.9657905840624403,0.9444310940983396
5,147,pilot, Up,word_initial,1.0472400188446045,0.6507105231285095,Rebbie Jackson,Rebbie Jackson,New Year's Eve (Up All Night),105,False,0.29849614788170536,0.3160043814003519,0.9065484872402004,0.2420945259039963,0.19334391696111342,0.20591640129809805,0.16070239543802298,0.19660539265710955,0.23805175890738045,0.24739161319793848,-0.017508233518646554,-0.01257248433698463,-0.035902997219086574,-0.0017242765317715871,0.018923045640225303,0.019439132797610482,0.23897438573632399,0.231329043489544,0.9098312739822592,0.7991340446138099
6,553,pilot, Atlantic,word_initial,0.6736147999763489,0.649621307849884,Missouri River,Missouri River,Brandon Minor,106,False,0.16293046752146745,0.12181593889133785,0.8088752239783188,0.1348276374448917,0.07864485697696344,0.0919357138003409,0.08289772076959477,0.10309402261689832,0.11327561143948328,0.13350943834792303,0.0411145286301296,-0.013290856823377467,-0.020196301847303547,0.06100747797814087,0.07833018025232934,-0.013429786987415645,0.1256493641423901,0.10216635148903115,0.9236479534973984,0.8665206190306469
7,293,pilot, practices,word_initial,1.4981670379638672,0.4929230809211731,Etymology of Wicca,Etymology of Wicca,The Archaeology of Ritual and Magic,107,False,0.4114385281855948,0.3949390519498382,0.8796824805517404,0.3258867457657302,0.20311397698003877,0.20679803481001743,0.17331676500655077,0.24343041310900304,0.30585443497845105,0.3372085171955425,0.016499476235756594,-0.0036840578299786597,-0.07011364810245227,-0.0758854323458371,0.15035700540483216,0.20816067122646573,0.3564530595841866,0.3703735802867778,0.9359954978508942,0.9353452302625059
8,42,pilot, those,word_initial,0.0505593940615654,0.9944583177566528,Coldrum Long Barrow,Coldrum Long Barrow,Dangerously in Love Tour,108,False,0.3087828910903724,0.2668215573521391,0.9146871224114556,0.2816447650071756,0.17101112849152716,0.18780326650913418,0.13610150418866238,0.1975768573514355,0.2932658607169543,0.2842139058156038,0.0419613337382333,-0.01679213801760701,-0.06147535316277311,0.21497129136611542,0.16610119594499576,-0.18567964254895006,0.313297023720241,0.23712144776584568,0.8763095779949683,0.7717585028499139
9,229,pilot," ,",punctuation,0.0821495503187179,0.9840564727783204,Rocky Mountain Horse,Rocky Mountain Horse,M-5 (Michigan highway),109,False,0.2037061108298782,0.22268711605050415,0.7848176541400378,0.1809722545629569,0.21661367274921675,0.21802982443667987,0.18674332378284106,0.19959459029789156,0.1852500188320622,0.18862311596768483,-0.018981005220625957,-0.0014161516874631186,-0.012851266515050502,-0.03945081022114529,0.017918128631011034,0.06664419923324445,0.184497967895177,0.19582468439642214,0.926384059946239,0.8880915856565941
10,74,pilot,on,word_piece,2.0102651119232178,0.5152744650840759,"Galveston , Texas","Galveston, Texas",Protein,110,False,0.5069544830484443,0.36268228742123054,0.8584160898919533,0.34517484663307,0.23514653476617428,0.2479445679190402,0.20408224590015955,0.24537487453689819,0.3252769931350073,0.3460358667820048,0.14427219562721372,-0.012798033152865929,-0.04129262863673863,0.1068836265642835,0.15971544752957323,0.0021208009171621595,0.39681951462981363,0.34205203959715597,0.9153955218758856,0.8556210848683186
11,399,pilot, and,word_initial,2.725916624069214,0.2919479310512543,G.I. Joe : Retaliation,G.I. Joe: Retaliation,2013 – 14 York City F.C. season,111,False,0.3862131699679704,0.35046300652169987,0.8938113981180289,0.3099190765861841,0.22876228664038997,0.23940607744931808,0.1974791939019707,0.23801782992091183,0.29622194335261154,0.3031583484879735,0.03575016344627052,-0.010643790808928105,-0.04053863601894114,0.02853213291065973,0.10591856827993033,0.059151090690004696,0.385571758235616,0.3614650472012446,0.8941034794180329,0.6107538986460566
12,457,pilot, and,word_initial,3.95900559425354,0.190037727355957,"Strand , London","Strand, London",2 / 4th Machine Gun Battalion (Australia),112,False,0.48751612113119924,0.4365157133917346,0.9401713122204304,0.4565237350408099,0.277636544354433,0.3004515167783716,0.214905613375004,0.28256909069195707,0.43686665037544575,0.4438180822221631,0.051000407739464626,-0.022814972423938595,-0.06766347731695307,0.08447211806868295,0.08369187805811934,-0.039719374803648566,0.4253421702442981,0.3905260034730766,0.924766869521309,0.803318146281442
13,117,pilot,1,word_piece,0.3701225519180298,0.9318063259124756,USS Breese ( DD @-@ 122 ),USS Breese (DD-122),Hadji Ali,113,False,0.5513375965509856,0.43743042004261473,0.9221163383205818,0.4115762781017497,0.3251120141666455,0.32604478022029426,0.25060103774622566,0.3381087872564845,0.37594052640573106,0.4169381070397153,0.11390717650837084,-0.0009327660536487814,-0.08750774951025886,0.15624566045310823,0.223144851855081,0.021463612516227793,0.3966551712287321,0.34060810842011185,0.931425353912245,0.7827498849910967
14,472,pilot, the,word_initial,2.158792495727539,0.482130765914917,Bath Assembly Rooms,Bath Assembly Rooms,Christmas 1994 nor 'easter,114,False,0.5293306748781876,0.4554149132348621,0.9349974426457645,0.4553495194949969,0.3159703208875784,0.3351706190452019,0.27533001156732784,0.33275842617043877,0.4348929270196554,0.4531952776678973,0.07391576164332553,-0.019200298157623474,-0.05742841460311093,0.21676756939272376,0.284609527997543,-0.10109762990362706,0.4696516823091589,0.38432990200874134,0.8596303321299974,0.7024089427512578
15,454,pilot, way,word_initial,0.9287801384925842,0.7803570628166199,Odyssey Number Five,Odyssey Number Five,Clocks (song),115,False,0.20633262117158535,0.23313695772006054,0.8982661786648177,0.2045919564390511,0.11745596302960938,0.13437891718702052,0.10972047952095385,0.1723381683949914,0.20268962728397846,0.1994958477456841,-0.026804336548475194,-0.016922954157411144,-0.06261768887403754,0.16278475457840844,0.14986188945068893,-0.11780971867337013,0.22068770652348438,0.1692740408556999,0.8821908672652926,0.8722046291978058
