row,stim_idx,claim_idx,n_claims,is_last,edit_type,single_word,error,word_pos,word_orig,word_corrupt,lp_orig,lp_corrupt,n_tok_orig,n_tok_corrupt,d_inj,lp_orig_noinj,lp_corrupt_noinj,d_noinj,d_inj_minus_noinj,prefill,lead,split,foreign_stim_idx,context_left_64,token_str,context_right_16,in_ctx,in_ctx_right,corrupt_in_ctx,claim,lp_orig_pos2,lp_corrupt_pos2,lp_orig_foreign,lp_corrupt_foreign,t2b_error,d_own,d_pos2,d_foreign,own_minus_pos2,own_minus_foreign,pos2_minus_noinj,foreign_minus_noinj
133,40,0,4,False,corrupt,True,,10,"europium,","lead,",-0.0411048606038093,-23.033689498901367,3.0,2.0,22.99258463829756,-14.156835556030272,-14.516551971435549,0.3597164154052734,22.632868222892284,"<explanation>
Wikipedia-style chemistry article structure with numbered sections listing properties of", ,eval,140," − 8 % of all matter in the universe is europium . 
 
 = = Characteristics = = 
 
 
 = = = Physical properties = = = 
 
 Europium is a ductile metal with a hardness similar to that of lead . It crystallizes in a body @-@ centered cubic lattice . Some properties of europ",ium, are strongly influenced by its half @-@ filled electron shell . Europium has,True,True,True,"Wikipedia-style chemistry article structure with numbered sections listing properties of europium, presenting factual data about the element's atomic and physical characteristics.",-0.017835669219493866,-32.15721893310547,-28.72024154663086,-20.851346969604492,,22.99258463829756,32.139383263885975,-7.868894577026367,-9.146798625588414,30.86147921532393,31.7796668484807,-8.22861099243164
134,40,1,4,False,corrupt,True,,10,europium,aluminum,-0.0011865063570439,-18.813682556152344,2.0,1.0,18.8124960497953,-13.321233749389648,-11.810969352722168,-1.5102643966674805,20.32276044646278,"<explanation>
The sentence ""The atomic mass and other physical properties of", ,eval,140," − 8 % of all matter in the universe is europium . 
 
 = = Characteristics = = 
 
 
 = = = Physical properties = = = 
 
 Europium is a ductile metal with a hardness similar to that of lead . It crystallizes in a body @-@ centered cubic lattice . Some properties of europ",ium, are strongly influenced by its half @-@ filled electron shell . Europium has,True,True,False,"The sentence ""The atomic mass and other physical properties of europium are given below.",-0.003958848770707846,-26.003957748413086,-22.622346878051758,-17.261571884155273,,18.8124960497953,25.999998899642378,-5.360774993896484,-7.187502849847078,24.173271043691784,27.51026329630986,-3.850510597229004
135,40,2,4,False,corrupt,True,,16,chemical,biological,-0.5849059224128723,-9.897405624389648,1.0,1.0,9.312499701976776,-17.048433303833008,-14.728120803833008,-2.3203125,11.632812201976776,"<explanation>
The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with", ,eval,140," − 8 % of all matter in the universe is europium . 
 
 = = Characteristics = = 
 
 
 = = = Physical properties = = = 
 
 Europium is a ductile metal with a hardness similar to that of lead . It crystallizes in a body @-@ centered cubic lattice . Some properties of europ",ium, are strongly influenced by its half @-@ filled electron shell . Europium has,False,False,False,"The atomic mass of europium"" signals a list of specific elemental data points, likely continuing with chemical forms or isotopic values of the element.",-3.4312968254089355,-9.868796348571777,-18.119863510131836,-12.838613510131836,,9.312499701976776,6.437499523162842,-5.28125,2.8750001788139343,14.593749701976776,8.757812023162842,-2.9609375
136,40,3,4,True,corrupt_det,True,,5,"(""Properties","(""EMI",-3.898049831390381,-34.71450424194336,2.0,3.0,30.81645441055298,-17.86575698852539,-21.568086624145508,3.702329635620117,27.11412477493286,"<explanation>
Final token ""europium"" ends mid-sentence", ,eval,140," − 8 % of all matter in the universe is europium . 
 
 = = Characteristics = = 
 
 
 = = = Physical properties = = = 
 
 Europium is a ductile metal with a hardness similar to that of lead . It crystallizes in a body @-@ centered cubic lattice . Some properties of europ",ium, are strongly influenced by its half @-@ filled electron shell . Europium has,True,True,False,"Final token ""europium"" ends mid-sentence (""Properties of europium""), part of a data table or list item (""Some properties of europium""), expecting continuation like ""in its solid state are:"" or ""are:"" or ""include the following:"" or ""atoms are given below,"" completing the atomic data.",-22.865108489990234,-32.35192108154297,-24.365554809570312,-30.32221794128418,,30.81645441055298,9.486812591552734,5.956663131713867,21.329641819000244,24.85979127883911,5.784482955932617,2.25433349609375
137,41,0,7,False,corrupt_det,True,,4,"""Bulleted","""Trek",-2.473870038986206,-12.450145721435549,4.0,3.0,9.97627568244934,-13.462023735046388,-19.22766876220703,5.7656450271606445,4.210630655288696,"<explanation>
Structured wiki format with", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"Structured wiki format with ""Bulleted facts"" pattern suggests a machine learning or trivia context about a named entity.",-14.35942268371582,-19.46678924560547,-26.178009033203125,-29.615806579589844,,9.97627568244934,5.107366561889648,3.4377975463867188,4.868909120559692,6.538478136062622,-0.6582784652709961,-2.327847480773926
140,41,3,7,False,corrupt_det,True,,8,"'Context'.""","'Speed'.""",-25.2874755859375,-31.385469436645508,4.0,4.0,6.097993850708008,-38.78939437866211,-38.91764831542969,0.1282539367675781,5.96973991394043,"<explanation>
' is given a summary of the passage", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.",-36.30160903930664,-31.7779483795166,-39.67915344238281,-40.708309173583984,,6.097993850708008,-4.523660659790039,1.0291557312011719,10.621654510498047,5.068838119506836,-4.651914596557617,0.9009017944335938
141,41,4,7,False,corrupt,True,,2,"""fact","""fiction",-1.5986570119857788,-7.536157131195068,2.0,2.0,5.9375001192092896,-19.140546798706055,-13.203046798706056,-5.9375,11.87500011920929,"<explanation>
Final token", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"Final token ""fact",-28.253616333007812,-30.191116333007812,-19.376493453979492,-26.126493453979492,,5.9375001192092896,1.9375,6.75,4.0000001192092896,-0.8124998807907104,7.875,12.6875
143,41,6,7,True,corrupt,True,,10,"intent?""","purpose?""",-9.92356014251709,-13.165181159973145,2.0,2.0,3.2416210174560547,-12.978511810302734,-11.817975044250488,-1.160536766052246,4.402157783508301,"<explanation>
And the passage : ...""), strongly expecting ""What is the", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.",-12.925344467163086,-13.10836124420166,-18.33577537536621,-17.378028869628906,,3.2416210174560547,0.18301677703857422,-0.9577465057373047,3.0586042404174805,4.199367523193359,1.3435535430908203,0.2027902603149414
143,41,6,7,True,corrupt_det,True,,7,"""What","""Moon",-14.981760025024414,-22.96613311767578,2.0,2.0,7.984373092651367,-16.346759796142578,-21.190509796142575,4.84375,3.140623092651367,"<explanation>
And the passage : ...""), strongly expecting", ,eval,141," down an alien seductress played by Natasha Henstridge before she successfully mates with a human male . Due to her ruthlessness , the alien character was cited as an example of negative treatment of female sexuality and aliens by the Hollywood film industry . The design of Sil was also linked to a chupacabra sighting ."," 
"," The film was conceived by Feldman in 1987 , and was",False,False,False,"And the passage : ...""), strongly expecting ""What is the intent?"" or ""The passage contains the following attributes:"" or ""This passage describes"" or similar concluding prompt or summary clause.",-20.927860260009766,-24.943485260009766,-22.26059341430664,-25.97934341430664,,7.984373092651367,4.015625,3.71875,3.968748092651367,4.265623092651367,-0.828125,-1.125
144,42,0,3,False,corrupt,True,,10,NES,PlayStation,-1.3350590467453003,-1.5225590467453003,1.0,1.0,0.1875,-17.001575469970703,-17.728137969970703,0.7265625,-0.5390625,"<explanation>
British video game wiki format with structured article detailing a", ,eval,142," and it will slightly deplete every time the player is hit by an enemy . If Pendragon completely runs out of energy , a large skeletal hand will drag the player off @-@ screen , thus killing him . 
 Various segments of maps are scattered around the galleon , which will form a complete view of the", game, 's overworld once all the segments are picked up . Other scattered items in,False,False,False,"British video game wiki format with structured article detailing a NES platform game's mechanics and stages, listing features and gameplay elements.",-6.202415466308594,-7.014915466308594,-20.203433990478516,-24.043277740478516,,0.1875,0.8125,3.83984375,-0.625,-3.65234375,0.0859375,3.11328125
