row,stim_idx,claim_idx,stratum,is_last,in_full_prefix,slot_type,word_orig,core_orig,claim,partner_row,d_norm,cos_dhat_hhat,proj,cos_z,cos_zc,ref_persist_word,ref_quoted_token_ok,complete,own_persist_word,own_persist_claim,own_jaccard_expl,own_parse_ok,own_cjk,own_format_break,own_cos_h_AR_new,own_cos_hprime_h,own_quoted_token_ok,own_n_tokens,random_persist_word,random_persist_claim,random_jaccard_expl,random_parse_ok,random_cjk,random_format_break,random_cos_h_AR_new,random_cos_hprime_h,random_quoted_token_ok,random_n_tokens
148,43,1,nonlast_in_prefix,False,True,entity,"""His",His,"The sentence ending ""His comic book appearances also influenced the character's video game and comic book series as well as the Darkwolf comic book series and the Darkwolf comic book"" suggests a concluding clause listing another media property or publication series, likely a comic book series or series.",353,33.52662658691406,0.2580941915512085,0.2580941915512085,0.8973881994501998,0.8909973479174599,True,True,True,1.0,0.2765957446808511,0.4090909090909091,1.0,0.0,0.0,0.865552592728692,0.9540277789293483,0.0,144.0,1.0,0.3684210526315789,0.4625,1.0,0.0,0.0,0.885798271573162,0.9557345465403083,1.0,145.0
140,41,3,nonlast_not_in_prefix,False,False,entity,"'Context'.""",Context,"' is given a summary of the passage 'Context'."" implies an expected continuation or question about the passage's content, likely a summary or analysis task about the facts listed.",612,62.295936584472656,0.38808438181877136,0.38808438181877136,0.8451522502372644,0.7966245220795042,True,False,True,1.0,0.39285714285714285,0.49411764705882355,1.0,0.0,0.0,0.7503455378227784,0.9543661139145101,0.0,147.0,1.0,0.2727272727272727,0.4418604651162791,1.0,0.0,0.0,0.81661856055334,0.9600209166590699,0.0,146.0
162,47,2,positive_control_last,True,True,entity,"""Sm""",Sm,"Final token ""Sm"" is a truncated word mid-sentence (""left Sm""), part of a list of TV appearances (""During his time on Raw he also appeared on SmackDown and later on Sm...""), strongly expecting ""ackdown"" or ""ackdown and his career, where he faced financial difficulties.""",329,45.846221923828125,0.4739863872528076,0.4739863872528076,0.8929812449451633,0.8664496232353491,True,True,True,1.0,0.44680851063829785,0.4891304347826087,1.0,0.0,0.0,0.8814699871833563,0.9557101026063204,1.0,147.0,1.0,0.45652173913043476,0.44329896907216493,1.0,0.0,0.0,0.8841315685144926,0.9557377565512641,1.0,147.0
161,47,1,nonlast_in_prefix,False,True,entity,"""After",After,"The sentence ending ""After leaving Raw he returned to SmackDown and briefly appeared on Sm"" is mid-sentence describing his WWE television appearances and career status, likely continuing with a specific event or show outcome involving WWE Raw or his contract.",148,36.028411865234375,0.2264060080051422,0.2264060080051422,0.8929812449451633,0.8803791746000731,True,True,True,0.0,0.2692307692307692,0.4838709677419355,1.0,0.0,0.0,0.8581526135706252,0.9542069372049166,0.0,144.0,0.0,0.37254901960784315,0.43617021276595747,1.0,0.0,0.0,0.8598400039325845,0.9574951615734754,1.0,143.0
145,42,1,nonlast_not_in_prefix,False,False,entity,"""Once",Once,"The sentence ""Once the player enters the stage select screen the player will begin to scroll through the levels of the stage to create the map of the game"" describes a loading sequence detail, suggesting continuation of describing the level loading mechanics or screen display of the entire dungeon.",573,35.9061279296875,0.15485526621341705,0.15485526621341705,0.9022261455224687,0.8911576863877866,True,True,True,0.0,0.21153846153846154,0.3956043956043956,1.0,0.0,0.0,0.8687462580510393,0.9549353801487809,1.0,146.0,1.0,0.40816326530612246,0.5,1.0,0.0,0.0,0.8813174434132285,0.9595215410153687,1.0,144.0
172,50,2,positive_control_last,True,True,entity,"""Time""",Time,"Final token ""Time"" ends mid-title (""In Love in Time""), part of a quoted list of literary titles (""Love in the Time of...""), strongly expecting ""of Illness"" or ""of Love"" to complete the famous novel title ""Love in the Time of Cholera,"" continuing the comma-separated list.",290,129.9316864013672,0.4628587067127228,0.4628587067127228,0.8940764736951006,0.6547891936606359,True,True,True,1.0,0.6060606060606061,0.5211267605633803,1.0,0.0,0.0,0.9012233176618974,0.9554782658497856,1.0,146.0,1.0,0.6875,0.5492957746478874,1.0,0.0,0.0,0.8744975723415819,0.9564427077068293,1.0,143.0
165,48,2,nonlast_in_prefix,False,True,entity,Elephanta,Elephanta,"The structure is a historic island mosque known as Elephanta Caves in"" strongly implies a location name or geographic context follows, likely Mumbai's Thane district.",393,24.459209442138672,0.35066553950309753,0.35066553950309753,0.8996911309373561,0.896165333175071,True,True,True,0.0,0.17647058823529413,0.3877551020408163,1.0,0.0,0.0,0.8766750929503393,0.9540768588425318,1.0,146.0,0.0,0.3157894736842105,0.4606741573033708,1.0,0.0,0.0,0.9010972753314785,0.9576572327857996,1.0,145.0
163,48,0,nonlast_not_in_prefix,False,False,entity,Wikipedia,Wikipedia,"Structured Wikipedia article format with a definition and image description pattern, establishing a formal Indian landmark entry about the Gateway of India.",529,31.753402709960938,0.06031651794910431,0.06031651794910431,0.8996911309373561,0.8964249747263039,True,True,True,0.0,0.24242424242424243,0.4105263157894737,1.0,0.0,0.0,0.8761080326190899,0.9565073560152345,1.0,146.0,1.0,0.5185185185185185,0.4777777777777778,1.0,0.0,0.0,0.9049769937073707,0.957027461987406,1.0,138.0
206,60,2,positive_control_last,True,True,entity,"""American""",American,"Final token ""American"" is mid-phrase (""the American""), part of a quoted historical event name (""during the American""), likely completing with ""Revolutionary War"" or ""War of Independence"" or ""Civil War"" or ""Revolutionary War era,"" continuing the historical citation context.",162,115.24112701416016,0.5759405493736267,0.5759405493736267,0.8909317153231097,0.6866384051840003,True,True,True,1.0,0.41025641025641024,0.3978494623655914,1.0,0.0,0.0,0.9021880218804221,0.9587520453848895,1.0,145.0,1.0,0.47058823529411764,0.4819277108433735,1.0,0.0,0.0,0.8988867422265966,0.9553480577677776,1.0,145.0
168,49,1,nonlast_in_prefix,False,True,entity,"""The",The,"The phrase ""The novel 'The X Files' is a fictional American television series about FBI agents Fox Mulder and Dana Scully who"" is a classic definition clause, strongly implying the famous crime-solving duo's plot context about paranormal investigations.",190,49.601078033447266,0.10005604475736618,0.10005604475736618,0.8391334933586021,0.7992929324718827,True,True,True,1.0,0.35555555555555557,0.4803921568627451,1.0,0.0,0.0,0.8316612044351603,0.9557684278493992,1.0,142.0,1.0,0.1956521739130435,0.5523809523809524,1.0,0.0,0.0,0.8599247113033821,0.9550755286825263,1.0,143.0
171,50,1,nonlast_not_in_prefix,False,False,entity,"""Another",Another,"The phrase ""Another novel: In the Time of the Butterflies"" mirrors a well-known literary title (""Love in Time""), suggesting a second famous novel title from the same cultural context, likely a famous work about love or hardship.",580,28.140905380249023,0.2278904765844345,0.2278904765844345,0.8940764736951006,0.8832868353521359,True,True,True,0.0,0.2619047619047619,0.48,1.0,0.0,0.0,0.8638585105933153,0.9541964813026703,1.0,142.0,0.0,0.3684210526315789,0.4594594594594595,1.0,0.0,0.0,0.8731176081469519,0.9594249780546448,1.0,144.0
214,62,2,positive_control_last,True,True,entity,"""Saul""",Saul,"Final token ""Saul"" is a truncated proper noun mid-list (""including Saul""), part of an example parenthetical clause (""References to: Saul""), immediately expecting a name like ""Bellow"" or ""Kurland"" or ""Wolfe's"" or ""and other Jewish literary figures.""",440,129.82080078125,0.543159544467926,0.543159544467926,0.925907818840253,0.5102425976494238,True,True,True,1.0,0.43478260869565216,0.46875,1.0,0.0,0.0,0.9336576513873521,0.9575824910420784,1.0,144.0,1.0,0.4418604651162791,0.39,1.0,0.0,0.0,0.9312365600123697,0.9564344604040095,1.0,148.0
170,50,0,nonlast_in_prefix,False,True,entity,Spanish,Spanish,"Literary work format with translated quotes from a Spanish novel, listing titles in a structured catalog pattern with cultural references to death and time.",449,28.595075607299805,0.011433488689363003,0.011433488689363003,0.8940764736951006,0.8845270674669381,True,True,True,0.0,0.19047619047619047,0.5142857142857142,1.0,0.0,0.0,0.8466706004688774,0.9575589296758249,1.0,140.0,1.0,0.23529411764705882,0.5131578947368421,1.0,0.0,0.0,0.8567875169851393,0.9578717167118578,1.0,145.0
178,52,1,nonlast_not_in_prefix,False,False,entity,1st,1st,"The paragraph ""During its early formation the 1st Special Unit was organized as the 1st Korean Security Unit"" mirrors the pattern of describing unit history and structure, now expected to continue listing subunits or organizational details about the unit's initial formation and designation.",657,38.42672348022461,0.2472267597913742,0.2472267597913742,0.8549496520398193,0.8282980269627044,True,True,True,1.0,0.14583333333333334,0.37362637362637363,1.0,0.0,0.0,0.8030524048186285,0.95407870113489,1.0,145.0,1.0,0.2916666666666667,0.37777777777777777,1.0,0.0,0.0,0.8440971810319987,0.9561218021117993,1.0,148.0
281,81,2,positive_control_last,True,False,entity,"-1""",-1,"Final token "" @ "" is mid-specification term (""XY @""), part of an incomplete quoted technical phrase (""the 'HSI and the YHIS...""), expecting continuation like "" -1"" or "" -12"" or ""s product numbers"" to complete the parenthetical clause.",425,122.7343521118164,0.3135819137096405,0.3135819137096405,0.6792819898977669,0.4008954907659381,True,False,True,0.0,0.35555555555555557,0.3711340206185567,1.0,0.0,0.0,0.6343027158308847,0.9539488450948456,1.0,144.0,1.0,0.3953488372093023,0.45454545454545453,1.0,0.0,0.0,0.7235126436314112,0.9593150540411696,1.0,145.0
